"GHN001","今までなかった緑茶","850ml","530","パン・オ・レザン・ガレット・デ・ロワケミカル 株式会社","平成12年10月"
"KOW002","熟成お酢","1100ml","940","あかなす食品工業 株式会社","平成20年07月"
"HXY003","健やかチョコレート","600g","1,670","株式会社 むらまつ化学","平成15年12月"
"FGO004","ヘルシー抹茶","1000ml","1,470"," 株式会社 イナバフード","平成16年11月"
"DOP005","デラックス紅茶","1150ml","350","あかし化学 株式会社","平成15年12月"
"DKN006","からだよろこぶバター","900g","1,120","株式会社 落合乳業","平成17年08月"
"HLR007","最高級オリーブオイル","650ml","1,420","池田食品工業 株式会社","平成15年04月"
"DKV008","徳用豆乳","450ml","640","株式会社 荒木食品","平成20年12月"
"GRS009","みんなのチーズ","550g","1,730"," 株式会社 クイニーアマン産業","平成18年03月"
"ACN010","デリシャス塩","350g","1,170","アカマツ製糖 株式会社","平成19年02月"
"CMW011","ミルキーお茶","1150ml","360","株式会社 今野・こんの製糖","平成22年05月"
"GIW012","オリジナルマーガリン","1000g","560","ミカミフード 株式会社","平成20年03月"
"KLM013","プレミアムコーヒー牛乳","500ml","650","株式会社 ヴァイツェンブロート乳業","平成20年09月"
"BUY014","極上ガーリック","800g","1,670"," 株式会社 ライン乳業","平成13年03月"
"AJR015","純正スライスチーズ","900g","520"," 長谷川ケミカル 株式会社","平成22年07月"
"AEU016","大自然の牛乳","550ml","580","株式会社 はたなか・秋元食品工業","平成19年02月"
"APY017","健康コーヒー","1000ml","1,090","株式会社 あらき水産","平成17年03月"
"AJK018","フレッシュウーロン茶","800ml","520","株式会社 池田ケミカル","平成18年10月"
"EKU019","天然ミネラルウォーター","850ml","1,180","こんのサイエンス 株式会社","平成16年08月"
"AIK020","奇跡のジャム","950g","940"," つつみ食品工業 株式会社","平成14年07月"
"ELV021","おいしい粉チーズ","900g","1,630","株式会社 あらき化学","平成12年01月"
"IPS022","大自然がくれたチーズ","650g","1,140","ふじた食品 株式会社","平成17年02月"
"FMQ023","エクストラチョコレート","350g","990"," 株式会社 ふじさわバイオ","平成21年01月"
"COQ024","高級ガーリック","350g","1,680"," 山田製パン 株式会社","平成21年11月"
"DLS025","からだにやさしいミネラルウォーター","500ml","1,040","株式会社 しらかわ水産","平成14年06月"
"BFG026","極旨コーヒー","550ml","330","株式会社 大崎ケミカル","平成18年11月"
"AOX027","料理用マーガリン","700g","610","株式会社 おかの乳業","平成20年03月"
"EKU028","天然コーヒー牛乳","600ml","780"," 後藤製糖 株式会社","平成18年10月"
"JRZ029","今までなかった緑茶","750ml","650","株式会社 アイ・ビーフード","平成21年03月"
"CDY030","フレッシュオリーブオイル","400ml","1,150","アイ・ビーケミカル 株式会社","平成18年08月"
"AMS031","天然コーヒー","1050ml","1,210"," 株式会社 はたなかケミカル","平成12年07月"
"IJT032","オリジナル紅茶","1050ml","1,130","株式会社 堤乳業","平成22年03月"
"GNW033","健やかバター","950g","1,710","さざなみ産業 株式会社","平成18年11月"
"DHU034","おいしいお酢","1100ml","900","株式会社 あさぎり・さざなみ食品工業","平成17年01月"
"BCM035","今までなかったチョコレート","300g","1,780","株式会社 大崎ケミカル","平成19年10月"
"ASV036","最高級チーズ","450g","570"," 株式会社 藤田食品工業","平成17年09月"
"FQZ037","奇跡のコーヒー牛乳","350ml","620"," スフィアボトリング 株式会社","平成17年05月"
"KXY038","大自然のバター","400g","440","株式会社 こんのケミカル","平成13年02月"
"FIU039","高級オリーブオイル","750ml","1,060"," 甲斐食品工業 株式会社","平成22年07月"
"KVX040","高級牛乳","1050ml","1,200"," 三上化学工業 株式会社","平成17年12月"
"ADR041","ヘルシーバター","650g","860"," サヴァラン食品 株式会社","平成18年05月"
